index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote
a9ef279717405fbc2919744577f4ffd9,2025-11-04T17:34:05Z,'avalanche search',www.pbs.org,en,0.0,Rescuers in Nepal search for climbers killed in an avalanche,"The Dolkha district administration office said that eight other climbers who were injured in the avalanche were flown to the capital, Kathmandu, for treatment.",https://www.pbs.org/newshour/world/rescuers-in-nepal-search-for-climbers-killed-in-an-avalanche,https://d3i6fh83elv35t.cloudfront.net/static/2025/11/2025-11-04T131350Z_745441631_RC2CPHA9ESNY_RTRMADP_3_NEPAL-AVALANCHE-1024x768.jpg,,"KATHMANDU, Nepal (AP) Rescuers dug through ice and snow on a mountain in Nepal on Tuesday to look for the bodies of seven climbers who were killed by an avalanche, officials said.
The avalanche poun… [+1837 chars]",
1191bb46417c1968da0d9f24ecad2c23,2025-11-04T17:42:30Z,'avalanche search',biztoc.com,en,0.0,Rescuers in Nepal search for climbers killed in an avalanche,"The Dolkha district administration office said that eight other climbers who were injured in the avalanche were flown to the capital, Kathmandu, for treatment.",https://biztoc.com/x/a8f3db1dcaa68f6f,https://biztoc.com/cdn/a8f3db1dcaa68f6f_s.webp,,"The Dolkha district administration office said that eight other climbers who were injured in the avalanche were flown to the capital, Kathmandu, for treatment.
This story appeared on pbs.org, 2025-1… [+13 chars]",
1a4ccfee31c2a7a4d1f6cae1688ec5f7,2025-11-06T10:53:27Z,'avalanche rescue',www.digitaljournal.com,en,0.0,Nepal searches for avalanche victims,"Nepali rescuers on Thursday searched for the bodies of multiple climbers killed in an avalanche this week, while Italy said five citizens reported missing in a separate incident were safe.  Seven people were killed on Monday when an avalanche hit multiple exp…",https://www.digitaljournal.com/world/nepal-searches-for-avalanche-victims/article,https://www.digitaljournal.com/wp-content/uploads/2025/11/3b293a7aaefb2b29daf9d5cb14d7cff11a36fcc3-1.jpg,,"Avalanche survivors Didier Armand Berton (L) and Isabelle Thaon in a Kathmandu hospital - Copyright AFP Prakash MATHEMA
Nepali rescuers on Thursday searched for the bodies of multiple climbers kille… [+1611 chars]",
6e7445376228f8ad0c60d66344a2ddf4,2025-11-06T16:24:49Z,'avalanche ski',www.cbsnews.com,en,0.0,2nd body found 8 months after avalanche buried 3 friends in Alaska,"Three friends in their late 30s were heliskiing together in Girdwood, Alaska in March when they were swept away by an avalanche.",https://www.cbsnews.com/news/remains-recovered-alaska-avalanche-search-rescue-skiers/,https://assets2.cbsnewsstatic.com/hub/i/r/2025/03/05/9a75d824-7cf7-4d98-b05b-7af0f0586332/thumbnail/1200x630/45d8508c12c8442edf9da5e9172abd36/ap25064738076524.jpg,,"The body of a skier who went missing in an Alaskan avalanche eight months ago has been found, authorities said Tuesday. 
David Linder, 39, Charles Eppard, 39, and Jeremy Leif, 38, were heliskiing to… [+1705 chars]",
6e58ba9bc21332af221c15650abbfd70,2025-11-02T15:07:40Z,'avalanche search',www.cbssports.com,en,0.1,College basketball 2025-26 season preview: Sorting out national championship contenders by tiers,Here are the teams that can actually conquer March Madness and cut the nets down on the first Monday in April,https://www.cbssports.com/college-basketball/news/college-basketball-2025-26-season-preview-sorting-out-national-championship-contenders-by-tiers/,https://sportshub.cbsistatic.com/i/r/2025/11/02/323a7cb2-b884-4ffb-8752-9c5e7fcb7abb/thumbnail/1200x675/7715f9a6bef0d979d84aa6f4c8ead7a1/uzan-houston-1.jpg,,"I am positive that you are going to be scrolling TikTok next March and stumble upon a content creator who believes they have the perfect formula to predict the National Championship winner.
I am pos… [+24487 chars]",
0cf27d3378a4df299ce4fec99e486b1f,2025-11-03T00:18:53Z,'avalanche protection',www.abc.net.au,en,0.1,Father and daughter among five killed in Italian Alps avalanche,"The avalanche struck the German climbers as they headed for the summit of Cima Vertana around 4pm on Saturday at an altitude of more than 3,500 metres.",https://www.abc.net.au/news/2025-11-03/five-germans-killed-in-italian-alps-avalanche/105964286,https://live-production.wcms.abc-cdn.net.au/6f58296aefd855c5d72996c3dd5c2f9b?impolicy=wcms_watermark_news&cropH=844&cropW=1500&xPos=0&yPos=467&width=862&height=485&imformat=generic,,"Five German climbers have died after being caught in an avalanche in the Italian Alps.
The avalanche struck as they headed for the summit of Cima Vertana in the Ortler mountain range in northern Ita… [+1514 chars]",
c266c9b5af680fa6879fd922be32a064,2025-11-03T11:39:03Z,'avalanche protection',www.cbsnews.com,en,0.1,"5 climbers, including dad and teen daughter, killed by avalanche","Two men and a woman were recovered dead on Saturday, while the bodies of a man and his 17-year-old daughter were found on Sunday.",https://www.cbsnews.com/news/avalanche-kills-5-climbers-dad-daughter-italy/,https://assets3.cbsnewsstatic.com/hub/i/r/2025/11/03/b8592728-8f41-4f07-9411-a237f26621b0/thumbnail/1200x630/b6ff99e72047a5c1c93c4120fdb56898/avalanche-574122785-1252660693572568-1427913387491068998-n.jpg,,"Five German mountaineers died after being hit by an avalanche in South Tyrol, in northern Italy, rescuers said on Sunday.
Three victims — two men and a woman — had already been recovered dead on Sat… [+2742 chars]",
2efee8359481ea3a1480bab72ca7b10d,2025-11-03T16:15:29Z,'avalanche search',www.lubbockonline.com,en,0.1,Big 12 football power rankings heading into Texas Tech vs BYU showdown,Texas Tech football and BYU will be the first Big 12 matchup of top-10 opponents since 2021. They'll also decide No. 1 in Big 12 power rankings.,https://www.lubbockonline.com/story/sports/college/red-raiders/2025/11/03/big-12-football-power-rankings-texas-tech-byu-utah-iowa-state/86869868007/,https://s.yimg.com/ny/api/res/1.2/JDmBDh3.qBOXHHNBVqw8Cw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA7Y2Y9d2VicA--/https://media.zenfs.com/en/lubbock-avalanche-journal/88810db3bbc40b9125fde711ded3218c,,"The Texas Tech football team has held the top spot in the Big 12 power rankings for the past eight weeks. Brigham Young has been right behind Tech in second position for three weeks.
They finally ge… [+5272 chars]",
bf79e51ec09ab39e6434f87402283bf1,2025-11-03T17:13:15Z,'avalanche mountain',slashdot.org,en,0.1,Avalanche on Nepal mountain Yalung Ri kills 7 including foreign climbers - CNN,Avalanche on Nepal mountain Yalung Ri kills 7 including foreign climbersCNN View Full Coverage on Google News ...,https://slashdot.org/firehose.pl?op=view&amp;id=179952646,,http://web.archive.org/web/20160119174443/http://slashdot.org/firehose.pl?op=view,"Stupidity, like virtue, is its own reward.",
5dac44e07f99833ec809f0f47dda2dfa,2025-11-03T18:58:45Z,'avalanche warning system',www.foxweather.com,en,0.1,"Italian avalanche kills at least 5 climbers, including father and daughter","A German father and his daughter are among five people who were killed in an avalanche in Italy over the weekend, according to officials.",https://www.foxweather.com/extreme-weather/deadly-italy-avalanche-german-father-daughter-november-2025,https://nypost.com/wp-content/uploads/sites/2/2025/11/114723421.jpg?quality=75&strip=all&w=1200,,"A German father and his daughter are among five people who were killed in an avalanche in Italy over the weekend, according to officials.
Italian officials said that during the early afternoon hours… [+2804 chars]",
11d4c69de4e87d5bacd67f4d488209de,2025-11-03T20:19:16Z,'avalanche mountain',www.brit.co,en,0.1,"5 Unsettling ""Past Life"" Confessions Kids Shared With Their Parents","It's no secret that people are fascinated by the concept of past lives — especially when it comes to kids. Well, a few years back, Reddit user TapiocaTuesday posted to the popular Ask Reddit page with the question, ""Parents, what spooky 'past life' memory did…",https://www.brit.co/kids-past-life-stories/,https://www.brit.co/media-library/kids-past-life-stories.jpg?id=62038097&width=1200&height=600&coordinates=0%2C27%2C0%2C140,,"Scroll on for 85 of the most hysterically ridiculous Halloween costume ideas guaranteed to help you bring the funny and keep the party laughing all night long.
 Brit + Co
Leggo her Eggo.(via Brit +… [+13160 chars]",
537d5646ba9b3a3071fc7576b16eb8aa,2025-11-04T02:55:07Z,'avalanche missing',www.aljazeera.com,en,0.1,"Avalanche hits Nepal’s Mount Yalung Ri, killing seven climbers","Victims include five foreigners and two Nepalis, while four others remain missing, media reports say.",https://www.aljazeera.com/news/2025/11/4/avalanche-hits-nepals-mount-yalung-ri-killing-seven-climbers,https://www.aljazeera.com/wp-content/uploads/2025/11/AFP__20251021__pariyar-notitle251021_npYMn__v1__MidRes__WithTheSkiesClearingOverTheK-1762220864.jpg?resize=1200%2C675,,"At least seven people, including five foreigners, have been killed in eastern Nepal after an avalanche swept through a camp on Mount Yalung Ri, according to media reports.
The Kathmandu Post, citing… [+2253 chars]",
