,phrase,label,sentiment,subjectivity,language,count
"Lines, Notes & How To Watch","Lines, Notes & How To Watch",ORG,-0.2916666666666667,0.6666666666666667,en,1.5999999999999999
Central,Central,ORG,0.22395833333333331,0.5173611111111112,en,1.5999999999999999
Colorado Avalanche @,Colorado Avalanche @,ORG,-0.21875000000000003,0.71875,en,1.5999999999999999
the Pittsburgh Penguins,the Pittsburgh Penguins,ORG,0.10624999999999997,1.1708333333333332,en,1.5999999999999999
the Toronto Maple Leafs',the Toronto Maple Leafs',ORG,0.5454545454545454,0.4515151515151515,en,1.5
NBA,NBA,ORG,0.049999999999999996,0.25555555555555554,en,1.5
Pacific Division,Pacific Division,ORG,0.5222222222222223,0.6999999999999998,en,1.5
Texas Tech,Texas Tech,ORG,0.16666666666666663,0.4732142857142856,en,1.4000000000000004
Microsoft,Microsoft,ORG,-0.017857142857142856,0.9999999999999999,en,1.4000000000000001
EU,EU,ORG,0.014610389610389614,0.7213203463203463,en,1.4000000000000001
the Los Angeles Kings',the Los Angeles Kings',ORG,1.142857142857143,0.28571428571428575,en,1.4
Eastern Conference,Eastern Conference,ORG,-0.10714285714285716,0.2380952380952381,en,1.4
SUNRISE,SUNRISE,ORG,0.29761904761904767,0.6785714285714286,en,1.4
WCF,WCF,ORG,-0.1904761904761905,0.22023809523809526,en,1.4
the Ottawa Senators,the Ottawa Senators,ORG,-0.37500000000000006,0.9702380952380953,en,1.4
NHL Power Rankings,NHL Power Rankings,ORG,-1.0416666666666667,0.8571428571428572,en,1.4
the Sierra Nevada,the Sierra Nevada,ORG,-0.11309523809523812,1.0416666666666667,en,1.4
The Minnesota Wild,The Minnesota Wild,ORG,0.44642857142857145,0.4523809523809524,en,1.4
Ava Labs,Ava Labs,ORG,0.0,0.0,en,1.4
Panthers,Panthers,ORG,0.5714285714285715,0.28571428571428575,en,1.4
the Golden Knights,the Golden Knights,ORG,0.4910714285714286,0.6696428571428572,en,1.4
BYU,BYU,ORG,0.4294871794871794,0.6282051282051281,en,1.3000000000000003
